case_id,analysis_id_sanitized,participant_id,human_review_decision,final_review_status,created_ok,reviewed_ok,reanalyzed,archived_restored,exported,escape_point_useful,poa_useful,preconditions_useful,uncertainty_clear,warnings_clear,issues
"clean-anchor","19bd7222****","PILOT-ADMIN-01","ACCEPT_AS_WORKING_HYPOTHESIS","WORKING_HYPOTHESIS_ACCEPTED","true","true","false","false","true","true","false","false","true","true","candidate_poa_not_actionable|preconditions_not_explicit"
"automation-boundary","fe46c6e9****","PILOT-ADMIN-01","RETURN_FOR_REANALYSIS","NOT_REVIEWED","true","true","true","false","false","true","false","false","true","true","candidate_poa_not_actionable|preconditions_not_explicit"
"procedural-fmc-mda-boundary","e33c9fdd****","PILOT-ADMIN-01","ACCEPT_AS_WORKING_HYPOTHESIS","WORKING_HYPOTHESIS_ACCEPTED","true","true","false","false","false","true","false","true","true","true","candidate_poa_not_actionable"
"technical-dominant","15f1b89d****","PILOT-ADMIN-01","ACCEPT_AS_WORKING_HYPOTHESIS","WORKING_HYPOTHESIS_ACCEPTED","true","true","false","false","false","true","false","false","true","true","candidate_poa_not_actionable|preconditions_not_explicit"
"consequence-as-cause","ad8d2fd6****","PILOT-ADMIN-01","REJECT_WORKING_HYPOTHESIS","WORKING_HYPOTHESIS_REJECTED","true","true","false","true","false","true","false","false","true","true","candidate_poa_not_actionable|preconditions_not_explicit"
"evidence-insufficient","feb8dc5c****","PILOT-ADMIN-01","REQUIRES_MORE_EVIDENCE","MORE_EVIDENCE_REQUIRED","true","true","false","false","true","true","false","false","true","true","candidate_poa_not_actionable|preconditions_not_explicit"
"no-failure","490cdc62****","PILOT-ADMIN-01","REJECT_WORKING_HYPOTHESIS","WORKING_HYPOTHESIS_REJECTED","true","true","false","false","false","true","false","false","true","true","candidate_poa_not_actionable|preconditions_not_explicit"
"pf-pm-ambiguity","48459a87****","PILOT-ADMIN-01","RETURN_FOR_REANALYSIS","NOT_REVIEWED","true","true","true","false","false","false","false","false","true","true","escape_point_needs_human_attention|candidate_poa_not_actionable|preconditions_not_explicit"
"precondition-confusion","72fbce9c****","PILOT-ADMIN-01","REQUIRES_MORE_EVIDENCE","MORE_EVIDENCE_REQUIRED","true","true","false","false","false","false","false","false","true","true","escape_point_needs_human_attention|candidate_poa_not_actionable|preconditions_not_explicit"
"progressive-escape-zone","bbeeb0aa****","PILOT-ADMIN-01","RETURN_FOR_REANALYSIS","NOT_REVIEWED","true","true","true","false","false","true","false","false","true","true","candidate_poa_not_actionable|preconditions_not_explicit"
