reviewer_slot,case_id,case_type,shared_case,primary_or_secondary_reviewer,sequence_order,estimated_minutes
REVIEWER-01,HP-001,GROUP_A_SIMPLE,NO,PRIMARY,1,12
REVIEWER-01,HP-006,GROUP_B_BOUNDARY,YES,PRIMARY,2,20
REVIEWER-01,HP-011,GROUP_C_INSUFFICIENT_TECHNICAL,NO,PRIMARY,3,16
REVIEWER-01,HP-016,GROUP_D_OPERATIONAL_MIXED,YES,PRIMARY,4,24
REVIEWER-01,HP-021,GROUP_E_ADVERSARIAL,NO,PRIMARY,5,22
REVIEWER-01,HP-012,GROUP_C_INSUFFICIENT_TECHNICAL,YES,SECONDARY,6,20
REVIEWER-01,HP-023,GROUP_E_ADVERSARIAL,YES,SECONDARY,7,24
REVIEWER-02,HP-002,GROUP_A_SIMPLE,YES,PRIMARY,1,12
REVIEWER-02,HP-007,GROUP_B_BOUNDARY,NO,PRIMARY,2,20
REVIEWER-02,HP-012,GROUP_C_INSUFFICIENT_TECHNICAL,YES,PRIMARY,3,20
REVIEWER-02,HP-017,GROUP_D_OPERATIONAL_MIXED,NO,PRIMARY,4,22
REVIEWER-02,HP-022,GROUP_E_ADVERSARIAL,NO,PRIMARY,5,22
REVIEWER-02,HP-006,GROUP_B_BOUNDARY,YES,SECONDARY,6,20
REVIEWER-02,HP-020,GROUP_D_OPERATIONAL_MIXED,YES,SECONDARY,7,24
REVIEWER-03,HP-003,GROUP_A_SIMPLE,NO,PRIMARY,1,12
REVIEWER-03,HP-008,GROUP_B_BOUNDARY,YES,PRIMARY,2,24
REVIEWER-03,HP-013,GROUP_C_INSUFFICIENT_TECHNICAL,NO,PRIMARY,3,16
REVIEWER-03,HP-018,GROUP_D_OPERATIONAL_MIXED,NO,PRIMARY,4,18
REVIEWER-03,HP-023,GROUP_E_ADVERSARIAL,YES,PRIMARY,5,24
REVIEWER-03,HP-002,GROUP_A_SIMPLE,YES,SECONDARY,6,12
REVIEWER-04,HP-004,GROUP_A_SIMPLE,NO,PRIMARY,1,12
REVIEWER-04,HP-009,GROUP_B_BOUNDARY,NO,PRIMARY,2,18
REVIEWER-04,HP-014,GROUP_C_INSUFFICIENT_TECHNICAL,NO,PRIMARY,3,14
REVIEWER-04,HP-019,GROUP_D_OPERATIONAL_MIXED,NO,PRIMARY,4,22
REVIEWER-04,HP-024,GROUP_E_ADVERSARIAL,NO,PRIMARY,5,22
REVIEWER-04,HP-008,GROUP_B_BOUNDARY,YES,SECONDARY,6,24
REVIEWER-04,HP-016,GROUP_D_OPERATIONAL_MIXED,YES,SECONDARY,7,24
REVIEWER-05,HP-005,GROUP_A_SIMPLE,NO,PRIMARY,1,12
REVIEWER-05,HP-010,GROUP_B_BOUNDARY,NO,PRIMARY,2,22
REVIEWER-05,HP-015,GROUP_C_INSUFFICIENT_TECHNICAL,NO,PRIMARY,3,16
REVIEWER-05,HP-020,GROUP_D_OPERATIONAL_MIXED,YES,PRIMARY,4,24
REVIEWER-05,HP-025,GROUP_E_ADVERSARIAL,NO,PRIMARY,5,22
REVIEWER-05,HP-023,GROUP_E_ADVERSARIAL,YES,SECONDARY,6,24

