case_id,analysis_id,reviewer_id,review_decision,escape_point_useful,poa_useful,preconditions_useful,uncertainty_clear,warnings_clear,review_notes,review_time_minutes,revision_count,final_status,exported
001,,REVIEWER-01,,,,,,,,,1,,
002,,REVIEWER-01,,,,,,,,,1,,
003,,REVIEWER-01,,,,,,,,,1,,
004,,REVIEWER-01,,,,,,,,,1,,
005,,REVIEWER-01,,,,,,,,,1,,
006,,REVIEWER-01,,,,,,,,,1,,
007,,REVIEWER-01,,,,,,,,,1,,
008,,REVIEWER-01,,,,,,,,,1,,
009,,REVIEWER-01,,,,,,,,,1,,
010,,REVIEWER-01,,,,,,,,,1,,
011,,REVIEWER-01,,,,,,,,,1,,
012,,REVIEWER-01,,,,,,,,,1,,
013,,REVIEWER-01,,,,,,,,,1,,
014,,REVIEWER-01,,,,,,,,,1,,
015,,REVIEWER-01,,,,,,,,,1,,
016,,REVIEWER-01,,,,,,,,,1,,
017,,REVIEWER-01,,,,,,,,,1,,
018,,REVIEWER-01,,,,,,,,,1,,
019,,REVIEWER-01,,,,,,,,,1,,
020,,REVIEWER-01,,,,,,,,,1,,
021,,REVIEWER-01,,,,,,,,,1,,
022,,REVIEWER-01,,,,,,,,,1,,
023,,REVIEWER-01,,,,,,,,,1,,
024,,REVIEWER-01,,,,,,,,,1,,
025,,REVIEWER-01,,,,,,,,,1,,
