claim,source,evidence,actual_scope,validity,overstatement_risk,correct_wording
methodology closed,docs A4R freeze/closure reports,Canonical tree real+sourced; engine evidence-first; O-E forbidden,Structural representation of the method is implemented and frozen at SERA_PT_V1,PARTIALLY_VALID,MEDIUM,"Methodology representation is implemented and version-frozen (SERA_PT_V1); not empirically closed"
final methodology freeze reached,docs; engine ENGINE_VERSION (SERA_PT_V1_FROZEN),methodology_version pinned in DB constraint and engine,Version label frozen,VALID,LOW,"Methodology version is frozen (label/contract); content may still need methodological correction (F-04)"
engine v0.1 validated,docs engine-validation reports; run-all finalDecision,39/39 boundary compliance + determinism reproduced; 68% UNRESOLVED; 8 codes unreachable; expected fitted to engine,Boundary/contract + determinism only,OVERSTATED,HIGH,"Engine v0.1 passes boundary/contract checks and is deterministic; classification accuracy is unvalidated"
39/39 proves readiness,validation reports,allowedCodes UNRESOLVED/null waived; guardrails vacuous; reproduced 39/39,Boundary compliance + conservative restraint,OVERSTATED,HIGH,"39/39 demonstrates boundary compliance + determinism, not readiness or accuracy"
176/176 full sweep,test suite,~16 of 176 execute the engine; 96 static text-greps; 75 existence checks,Mostly static guards + some E2E,OVERSTATED,HIGH,"176 trials pass; the majority are static text/existence guards, ~16 are behavioral"
Product Beta ready,docs; product-beta trials,DB+app+engine locks verified; admin+tenant gating; append-only; idempotent,Candidate-only internal persistence is robust,VALID_WITH_LIMITS,MEDIUM,"Product Beta candidate-only persistence is robust; output utility is bounded by engine (F-05)"
frontend ready,docs readiness reports,Functional + tenant-safe but copy overstates (A IA classifica; Metodologia validada),Controlled pilot only,OVERSTATED,HIGH,"Frontend is ready for a controlled admin pilot after copy fixes; not for unsupervised/public use"
DB/RLS real validated,product-beta DB/RLS trials,RLS enabled; locks as CHECK constraints; tenant filters; verified statically,Schema design validated statically; live drift not checked,VALID_WITH_LIMITS,LOW,"DB/RLS design validated statically; live-schema drift not verified in this audit"
controlled pilot passed,docs controlled-admin-beta-pilot trial,Admin candidate-only flow is safe; locks hold,A controlled admin pilot is feasible,VALID_WITH_LIMITS,MEDIUM,"A controlled admin candidate-only pilot is feasible; results will be mostly UNRESOLVED for PT"
reviewer utility 10/10,docs reviewer utility reports,reviewer-output is presentation over a low-signal engine; cannot alter decision,Formatting utility exists; signal is thin,OVERSTATED,MEDIUM,"Reviewer tooling is complete; reviewable signal is limited by engine output (F-05)"
human pilot ready,docs pilot prep reports,Candidate-only safe; but PT classification gap + copy issues,Supervised pilot only,OVERSTATED,HIGH,"Ready for a supervised candidate-only pilot after F-05/F-12; not a general human pilot"
Risk Profile real data ready,commit c4266d0; risk-profile trials,Consolidation correct + exclusion safe; arbitrary score; legacy/vNext mix; most vNext ignored,Plumbing ready; interpretive claims inflated,VALID_WITH_LIMITS,MEDIUM,"Risk Profile consolidation + exclusion are production-safe; score/pattern/ERC framings need tempering"
dashboard ready,docs,Real tenant-scoped data; arbitrary score; advertises unreachable codes; un-audited endpoint,Functional with caveats,VALID_WITH_LIMITS,MEDIUM,"Dashboard works on real data; temper score/profile claims and route through audited endpoint"
no methodology changes,docs,Engine emits O-B for no-awareness continuation (F-04),Methodology content has a representation gap,NEEDS_REVIEW,MEDIUM,"The frozen representation has an open methodological issue (violation over-attribution) to resolve"
final outputs blocked,engine + app + DB,selectedCode/releasedCode/finalConclusion null; CLASSIFIED/READY/downstream false at all 3 layers,Final outputs are hard-blocked,VALID,LOW,"Correct: final/released/classified outputs are blocked at engine, app, and database"
methodology scientifically validated,public badge 'Metodologia validada'; page.tsx:984,No empirical accuracy or inter-rater reliability study exists,INVALID,HIGH,"Do not claim scientific validation; deterministic implementation of a documented method pending empirical study"
