pattern_id,pattern_name,description,Daumas_relevance,Hendy_relevance,SERA_vNext_use,allowed_use,prohibited_use,risk
DP-01,perception_cue_missing_or_misread,Operator belief diverges from the actual operational state because cues were absent degraded or misread,High,Direct perception-lane relevance,calibrate cue recognition and uncertainty handling,method-only cue-depth calibration,use as automatic perception code authority,MEDIUM
DP-02,objective_goal_selection_under_uncertainty,Operator goal remains coherent or becomes risk-bearing under incomplete situational understanding,High,Direct goal and intention relevance,calibrate objective evidence requirements,improve goal-evidence discipline,use as shortcut to violation labeling,MEDIUM
DP-03,action_coherent_with_incorrect_perception,Action follows the actor understanding even when that understanding is wrong,High,Direct action from belief relevance,calibrate belief-to-action linkage,structure candidate-only reasoning,use as excuse to skip actor-specific action evidence,MEDIUM
DP-04,action_incoherent_with_available_cues,Available cues were sufficient yet the action path remained misaligned,Medium,Direct perception and action tension relevance,calibrate evidence-against notes,stress-test boundary cases,use as hindsight-driven blame language,HIGH
DP-05,actor_attribution_under_incomplete_evidence,Context and hierarchy are rich but the direct actor still needs explicit preservation,High,Direct actor relevance,guard against agent migration,build actor-mapping discipline,use crew collective as generic fallback,HIGH
DP-06,context_precondition_separated_from_active_failure,Organizational or environmental context explains the lane without replacing the unsafe operational moment,High,Direct active-failure and precondition separation,calibrate context discipline,keep context and act in separate fields,use context as substitute for the active failure,HIGH
DP-07,time_window_reasoning,Unsafe operation is reconstructed as a bounded sequence rather than a vague narrative blob,High,Direct timing relevance,calibrate earliest latest first-departure and critical-act structure,stabilize candidate-only window work,force a single timestamp when the window is materially split,HIGH
DP-08,evidence_limitation_leading_to_hold,Record remains informative but not stable enough for closure,Medium,Supports disciplined non-closure,calibrate hold and re-audit decisions,justify non-final status,use Daumas depth to pretend the evidence is sufficient,MEDIUM
DP-09,outcome_quarantine,Later severity is kept separate from the earlier operative human boundary,High,Direct unsafe-act timing relevance,calibrate consequence quarantine,control hindsight bias,use late consequence to select the active failure,HIGH
DR-10,human_interview_MDC_enrichment,Structured interview deepening adds contextual and cognitive detail unavailable in thin official summaries,High,Indirect but important for answerability,calibrate evidence-depth expectations,improve extraction template depth,use interview depth as substitute for traceable event facts,MEDIUM_HIGH
