requirementId,methodologyRequirement,sourceDocument,expectedRuntimeBehavior,codeEvidence,testEvidence,currentStatus,gapSeverity,recommendedNextAction
REQ-RT-001,real tree required,A4R99 canonical tree + A4R185 lock,Runtime must execute canonical tree nodes as source of truth,No runtime import/use of A4R99 found in frontend/src/lib/sera/** or frontend/src/lib/sera-vnext/**; legacy local questions in frontend/src/lib/sera/pipeline.ts:969 and frontend/src/lib/sera/all-steps.ts:2190,None proving canonical tree execution in tests/sera or tests/sera-vnext,NOT_IMPLEMENTED,HIGH,Implement A4R190-A canonical tree runtime data model and wire read path
REQ-RT-002,nodeId authority,A4R99 + Canonical SERA Tree Rule,Each decision must bind to canonical nodeId and next node/leaf,Legacy node labels are local (e.g. "Nó 0" in frontend/src/lib/sera/all-steps.ts:2190); no canonical nodeId binding,No executable assertion on canonical nodeId presence in runtime outputs,NOT_IMPLEMENTED,HIGH,Implement A4R190-B traversal engine skeleton with canonical nodeId transitions
REQ-RT-003,exactQuestionText immutable,A4R99 + A4R188 language lock,Runtime must render exact canonical PT/EN question text linked to nodeId,Local hardcoded questionText appears in frontend/src/lib/sera/pipeline.ts:969 and axis traces 1278/1482/1671; no exactQuestionTextPt/En fields,None validating exact canonical question text lock,LEGACY_HEURISTIC_ACTIVE,HIGH,Implement A4R190-C bilingual rendering from canonical node text table
REQ-RT-004,escape point anchor,Hendy/SERA baseline + A4R188 preflight,Runtime must anchor P/O/A only at safe operation escape point,Escape point fields and question exist in frontend/src/lib/sera/pipeline.ts:887 and :969; deterministic guardrail text in frontend/src/lib/sera/all-steps.ts:2997,Escape fixtures exist in tests/sera/fixtures/TEST-ESCAPE-*.json and methodology gate scripts,PARTIAL_DOC_ONLY,MEDIUM,Implement explicit escapePointScope and approvedEscapePointScope runtime gate in A4R190-D
REQ-RT-005,no post-escape consequence as cause,A4R188 preflight guardrails,Runtime must block causal migration to post-escape consequences,Rule text present in frontend/src/lib/sera/all-steps.ts:2354 and maintenance deterministic gate in :2997,Indirect evidence via fixtures TEST-ESCAPE-POST-FAILURE-001 and TEST-COPTERLINE-S76C-001; no explicit runtime assertion by id,PARTIAL_DOC_ONLY,MEDIUM,Add executable negative-control tests and explicit hard-fail gate in A4R190-D/F
REQ-RT-006,P/O/A separate traversal,Hendy/SERA causal chain,Perception/objective/action must be decided in separated traversal steps,Separated legacy steps runStep3/4/5 in frontend/src/lib/sera/pipeline.ts:1943 and separated vnext steps 05/06 in frontend/src/lib/sera-vnext/engine.ts:20,Axis-separated assertions in tests/sera-vnext/dry-run-trial-001.ts:66 and 80,COMPLIANT_ACTIVE,LOW,Keep separation while migrating traversal to canonical node engine
REQ-RT-007,insufficient evidence block,Hendy/SERA + A4R188,Runtime must block classification when evidence is insufficient,vnext returns INSUFFICIENT_EVIDENCE / REVIEW_REQUIRED and UNRESOLVED in frontend/src/lib/sera-vnext/steps/06-poa-classification.ts:229 and :303,Validated in tests/sera-vnext/dry-run-trial-001.ts:66 and 277 and missing evidence case at 319,COMPLIANT_ACTIVE,LOW,Carry same gate semantics into canonical traversal outputs
REQ-RT-008,no invented question,Canonical SERA Tree Rule,Runtime must not invent case-specific local questions outside canonical tree,Multiple "Pergunta local" prompts in frontend/src/lib/sera/all-steps.ts:2507 and :3526; local question_trace texts in frontend/src/lib/sera/pipeline.ts:969 onward,No test proving rejection of non-canonical question generation,LEGACY_HEURISTIC_ACTIVE,HIGH,Replace local prompts with canonical node-driven prompts in A4R190-B/C
REQ-RT-009,PT/EN stable node logic,A4R188 language lock,Node logic must stay stable across PT and EN and only text rendering may vary,vnext has locale field in frontend/src/lib/sera-vnext/types.ts:5 but step logic uses English phrase matching in frontend/src/lib/sera-vnext/steps/05-poa-statements.ts:37 and :56,dry-run uses locale en in tests/sera-vnext/dry-run-trial-001.ts:31; no PT/EN parity suite,PARTIAL_DOC_ONLY,MEDIUM,Implement locale-independent node traversal + bilingual text map in A4R190-C/F
REQ-RT-010,no downstream before P/O/A,Hendy/SERA scope lock + A4R188,System must block finalConclusion/HFACS/Risk/ERC/ARMS outputs before classified causal core,vnext forbidden outputs in frontend/src/lib/sera-vnext/constants.ts:11 and enforced in human-decision.ts:42 and code-release.ts:81,Downstream lock assertions in tests/sera-vnext/dry-run-trial-001.ts:151 and 175 and code-release-gate-trial-001.ts:123,COMPLIANT_ACTIVE,LOW,Preserve and extend lock checks across canonical traversal gate
REQ-RT-011,no baseline promotion before gate,Baseline governance rules,Baseline promotion must require explicit metric gate and human action,Promotion script requires strict metrics in scripts/promote-sera-v0.1.1-baseline.sh:36 and :45; candidate runner blocks baseline edits in scripts/run-sera-methodology-candidates.sh:263,No dedicated automated CI gate inventory included in this phase; script-level guard present,COMPLIANT_ACTIVE,LOW,Add CI check that blocks baseline paths on candidate/test runs (A4R190-F)
REQ-RT-012,factual rationale required,A4R188 event-specific rationale checklist,Axis decisions must include evidence-linked rationale,vnext requires evidenceReferences and reviewerRationale in frontend/src/lib/sera-vnext/human-decision.ts:106 and :114,Validation scenarios in tests/sera-vnext/dry-run-trial-001.ts:318 and 323 and 365,COMPLIANT_ACTIVE,LOW,Attach rationale to canonical node transitions and evidenceRef ids in A4R190-B/F
REQ-RT-013,traversal extension required,A4R188 traversal extension policy,Runtime must support controlled extension with locked methodology boundaries,Current engine notes partial state in frontend/src/lib/sera-vnext/engine.ts:100 and no canonical traversal extension runtime,No executable extension tests tied to canonical tree,NOT_IMPLEMENTED,MEDIUM,Implement traversal extension contract and negative controls in A4R190-G/F
